title,description,location,features,data,price
New Furnished Flat for an Urgent sale in Sobha City  Thrissur,"New Furnished 3 bed rooms attached flat for an urgent sale in Sobha City Thrissur. All Imported materials used,  No Maintenance charges. Including the Club house membership and 1 extra car parking price 1 Crore 49 lacks.  1800 Sq Feet 3 bed rooms  and 3140 4 bed rooms furnished and without furnishings also available in Sobha City Thrissur...  Please Contact BabuRamakrishnan, thrissurproperty com",Puzhakkal Padom Thrissur Kerala India,3 Bds - 4 Ba - 2240 ft2,2020-06-17T10:35:54+0000,"₹ 1,49,00,000"
,,,,,
3 BHK For Sale in Sector 115,"This Spacious Residential Floors  has total   3 floors, makes it very suitable for a family with variety of living needs in mind. The space is airy is well located and can be easily customized as per the needs. Ample space for covered car parking for visitors. All modern development happening in the surrounding.  . Daily needs shops inside the township.  . Green parks inside the township.  . 24 hrs. Security – Gated society.  . 24 hrs. Water available.  Loan Facility is available from all leading banks.",Sector 115 Mohali Punjab India,3 Bds - 3 Ba - 1273 ft2,2020-06-22T07:30:00+0000,"₹ 31,90,000"
,,,,,
BUY 3BHK AT NASIK ROAD DATTA MANDIR,"Karda Hari Nakshatra  A thoughtfully planned project that exudes intense precision and passion in shaping your dream of a perfect home for you and your loved ones. It comprises of residential flats & shops. The buildings are well planned with flats that are designed to make optimum utilization of spaces. This complex is ideally located in an area with close proximity to the Nashik Road Railway Station , highway, schools, colleges hospital and shopping areas that makes it a convenient choice for all.   >Covered swimming pool  >Amphitheatre  >Mini Theatre  >Gazebo  >Lawn  >Children play area  >Gymnasium with steam bath  >Club house & Squash Court  >Allotted parking  >Video door phone  >Vastushastra based design",Datta Nagar Nashik Maharashtra India,3 Bds - 3 Ba - 1460 ft2,2020-06-29T07:53:05+0000,"₹ 82,10,231"
,,,,,
"Luxury Independent Villas in Devanahalli,","Prestige Golfshire – Luxury Independent Villas in Devanahalli, Nandi Hills",Nandi Hills Bengaluru Karnataka India,4 Bds - 4 Ba - 5896 ft2,2020-07-12T18:54:48+0000,"₹ 6,75,00,000"
,,,,,
LOW Budget 5.50 Marla 3BHK House In Just 28.50 Lac In Jalandhar,"Great Offer 5.50 Marla 3BHK House In Just 28.50 Lac   Address:--  Venus Velly Colony, Amritsar By-Pass Road Backside Verka Milk Plant Near Swami Mohan Dass Public School Jalandhar  (Harjitsons Real Estate)  Property Detail:--  Plot Area: 1140 sq.ft. Price: 28.50 Lac Booking Price: 20 Thousand  Availability: Within One Month Road: 24""ft Wide Road Water Supply: Available Drainage System: Available Green Belt: Available NOC & Naksha: Passed (Municipal Corporation Jalandhar)  Its 3 Bedroom, 3 Bathroom,  Drawing Room, Lobby, Kitchen With Cupboards, Up-Stairs, Terrace, Car-Porch & Many More   --Housing Loan Available Upto 90% -- Its Well Developed Colony  -- Easy To Approachable  -- Well Educated Family Living Here   For Further Detail Regarding Property, Contact On  99155  ,  57101 Mr. Harpreet Singh T&C Apply",Kalia Colony Jalandhar Punjab India,3 Bds - 3 Ba - 1700 ft2,2020-07-03T09:56:41+0000,"₹ 28,50,000"
,,,,,
1 Bhk Flat Available Gurgaon,1 Bhk Flat Available Gurgaon,Sector 33 Gurgaon Haryana India,1 Bds - 1 Ba - 540 ft2,2020-06-14T06:54:48+0000,"₹ 13,50,000"
,,,,,
2 BHK Only @ 56 L In Sus,"Blueroof Sera is nothing but the one of the premium residential project in Sus Area , which offers great and luxury apartments in affordable prices with all the basic amenities. In which naturally lit & well ventilated rooms , use of quality building materials & quality finishesh .",SUS Pune Maharashtra India,2 Bds - 2 Ba - 1027 ft2,2020-06-15T02:06:34+0000,"₹ 56,33,000"
,,,,,
Pre-launch 2bhk@Bachupally,Premium 2bhk flatson pre-launch sale in bachupally in a high rise gated community with world class amenities in 10 acres of land.,Bachupally Hyderabad Telangana India,2 Bds - 2 Ba - 1045 ft2,2020-07-12T18:51:53+0000,"₹ 30,00,000"
,,,,,
"3 BHK Luxury Homes for Sale in Godrej Meridien at Sector 106, Gurgaon","	6% open and green areas • 	4 tier security screening 	6132sqft mtr. (66k sqft) Grand Club House 	7+ sporting facilities • 	International Brand Tie-ups •In proximity to IGIA, International Convention Centre, Dwarka Expressway, Delhi • 	Low density Product •  	Central car free zone • 	Concierge desk & 24x7 Valet Service • 	Lush Forest Grove with walkways , benches and sculptures",Sector 85 Gurgaon Haryana India,3 Bds - 3 Ba - 1855 ft2,2020-07-08T14:57:04+0000,"₹ 1,70,00,000"
,,,,,
Furnished havy beautiful flat sell in behala diamond park society,"2bhk fully finished havy beautiful 3rd floor flat with lift sell in behala diamond park. Near pond. Loan available. Contact only genuine clients please and brokerage one month rent extra. Contact Mr Rana  for visit, more photos and more information about this property. Open my advertisement > scroll down > click on Rana Real Estate > click follow option, then my every new advertisement notifying you.",Behala Kolkata West Bengal India,2 Bds - 2 Ba - 810 ft2,2020-07-12T18:54:36+0000,"₹ 30,00,000"
,,,,,
AMUTHAM BUILDERS - loan arrangements and construction,BUILDING AND VILLAS We are builder Loan arrangements and construction if you any requirement pls make call and any clarification if don't mine make a call,Kamatchi Puram Tiruppur Tamil Nadu India,2 Bds - 2 Ba - 1000 ft2,2020-07-12T18:54:23+0000,"₹ 10,000"
,,,,,
It is having comprises of many world class amenities,"Prestige Edwardian  Ready to move  Prestige Edwardian bring forth the elegance and grace of an age when life was leisure and every day a celebration. Prestige Edwardian comes with all contemporary amenities like a Clubhouse, Swimming Pool, Gymnasium and more to accommodate the lifestyle and requirements of modern ultra luxury living. Come discover the gracious life!",Vasant Nagar Bengaluru Karnataka India,4 Bds - 4 Ba - 4750 ft2,2020-07-12T18:51:43+0000,"₹ 11,00,00,000"
,,,,,
House complete ready to move on road campwell road near petrol pump,Behind SS LAWN campwell near petrol pump ⛽️ road on road well maintained house new call me,Balaganj Lucknow Uttar Pradesh India,4 Bds - 2 Ba - 800 ft2,2020-07-12T18:51:04+0000,"₹ 34,00,000"
,,,,,
3 sides open specious 3 BHK BHK Apartments in Cunningham Road,Prestige Kenilworth   3 sides open specious 3 BHK BHK Apartments in Cunningham Road makes living in the hotspot old Bangalore an experience like never before. With two dedicated levels of premium amenities two make your stay bliss. (Possession – April – 2021),Vasant Nagar Bengaluru Karnataka India,3 Bds - 3 Ba - 3500 ft2,2020-07-12T18:48:42+0000,"₹ 9,00,00,000"
,,,,,
2bhk flat sale madan dhaba kokar.,2bhk flat for sale at madan dhaba kokar. Flat disatance only 300 miter. 3rd floor par hai Lift nhi hai. Car parking hai. Gard hai. Rs . 32 lakh only.,Kokar Ranchi Jharkhand India,2 Bds - 2 Ba - 800 ft2,2020-07-05T03:27:49+0000,"₹ 32,00,000"
,,,,,
